District,Jan_2014,Apr_2014,Aug_2014,Jan_2015,Apr_2015,Aug_2015,Jan_2016,Apr_2016,Aug_2016
Bo,0,0,19,331,8,0,0,0,0
Bombali,0,0,8,965,91,0,0,0,0
Bonthe,0,0,1,0,0,0,0,0,0
Kailahun,0,0,447,211,0,0,0,0,0
Kambia,0,0,0,131,105,41,0,0,0
Kenema,0,0,212,314,6,0,0,0,0
Koinadugu,0,0,0,148,6,1,0,0,0
Kono,0,0,3,384,63,0,0,0,0
Moyamba,0,0,11,249,16,0,0,0,0
Port Loko,0,0,14,1320,234,41,0,0,0
Pujehun,0,0,4,50,0,0,0,0,0
Tonkolili,0,0,0,472,28,3,2,0,0
Western Rural,0,0,3,1221,142,15,0,0,0
Western Urban,0,0,12,2037,421,49,1,0,0
